model,train_start,train_end,test_start,test_end,train_rows,test_rows,accuracy,f1,roc_auc,horizon_days,threshold_bps,feature_set
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,983,248,0.6330645161290323,0.7586206896551724,0.4861702127659575,15,15.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,742,241,0.38589211618257263,0.3211009174311927,0.49976076555023924,15,15.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,742,241,0.6058091286307054,0.7164179104477612,0.5283094098883573,15,15.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,983,248,0.375,0.3459915611814346,0.6256205673758866,15,15.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,983,248,0.6854838709677419,0.7891891891891892,0.5900709219858156,15,15.0,full
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,756,250,0.404,0.2731707317073171,0.5397286821705426,20,0.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,756,250,0.608,0.7183908045977011,0.5043977340488969,20,0.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1006,252,0.31746031746031744,0.2833333333333333,0.6238461538461538,20,0.0,market_only
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1006,252,0.6944444444444444,0.8070175438596491,0.5264423076923077,20,0.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,756,250,0.428,0.38626609442060084,0.5324985092426953,20,0.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,756,250,0.588,0.7098591549295775,0.5113297555158021,20,0.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1006,252,0.4523809523809524,0.5106382978723404,0.5658653846153847,20,0.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1006,252,0.7182539682539683,0.8229426433915212,0.6108653846153846,20,0.0,full
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,752,248,0.39919354838709675,0.2660098522167488,0.5477329687856004,20,5.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,752,248,0.5967741935483871,0.7191011235955056,0.4954811270600744,20,5.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1000,252,0.30952380952380953,0.2689075630252101,0.6177884615384616,20,5.0,market_only
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1000,252,0.6865079365079365,0.7979539641943734,0.5242307692307693,20,5.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,752,248,0.4274193548387097,0.3879310344827586,0.5388471177944862,20,5.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,752,248,0.625,0.743801652892562,0.49024075339864814,20,5.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1000,252,0.4365079365079365,0.4928571428571429,0.5655769230769231,20,5.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1000,252,0.7063492063492064,0.815,0.5949038461538463,20,5.0,full
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,746,244,0.38934426229508196,0.25125628140703515,0.5420118343195266,20,10.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,746,244,0.610655737704918,0.7262247838616714,0.5042209072978303,20,10.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,990,249,0.3092369477911647,0.2773109243697479,0.6168548227371756,20,10.0,market_only
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,990,249,0.6907630522088354,0.8020565552699229,0.5355515943751238,20,10.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,746,244,0.42213114754098363,0.3788546255506608,0.5330966469428009,20,10.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,746,244,0.6270491803278688,0.7422096317280453,0.5196844181459566,20,10.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,990,249,0.43373493975903615,0.49097472924187724,0.5564468211527035,20,10.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,990,249,0.7309236947791165,0.8345679012345679,0.6341849871261638,20,10.0,full
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,738,244,0.36475409836065575,0.19689119170984457,0.5477712031558185,20,15.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,738,244,0.5901639344262295,0.7023809523809523,0.5433530571992111,20,15.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,982,248,0.3024193548387097,0.26382978723404255,0.6146113267642083,20,15.0,market_only
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,982,248,0.6854838709677419,0.796875,0.49855678311933904,20,15.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,738,244,0.4385245901639344,0.38009049773755654,0.53767258382643,20,15.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,738,244,0.6024590163934426,0.7220630372492837,0.5228402366863905,20,15.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,982,248,0.4274193548387097,0.4928571428571429,0.5440429979098238,20,15.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,982,248,0.7016129032258065,0.8140703517587939,0.5660396138150691,20,15.0,full
